Year,Unnamed: 0,MSLP,Prcp,Tc,RH,WS,PopTotal
1990,182.0,1015.672602739726,5.4301369863013695,14.89835616438356,76.16712328767123,3.0002739726027396,15004469.0
1991,547.0,1014.7980821917807,7.102739726027397,13.996712328767124,78.74246575342465,2.8167582417582415,15662983.0
1992,912.5,1015.1060109289617,5.452185792349726,13.976229508196722,74.93169398907104,2.955464480874317,16351606.0
1993,1278.0,1014.9868493150685,6.601369863013699,13.305205479452054,76.47123287671234,2.8695890410958906,17034594.0
1994,1643.0,1015.0813698630137,4.280821917808219,14.733972602739724,72.72876712328767,2.907967032967033,17724545.0
1995,2008.0,1014.6854794520548,6.6506849315068495,13.655342465753424,74.7013698630137,2.8709589041095893,18423725.0
1996,2373.5,1015.1863387978142,5.566939890710382,13.560382513661203,77.21857923497268,2.8450819672131145,19150090.0
1997,2739.0,1014.9334246575343,6.220547945205479,14.255890410958903,76.51506849315068,2.9611267605633804,19905571.0
1998,3104.0,1015.478904109589,8.013698630136986,14.992602739726028,78.7972602739726,2.789664804469274,20652472.0
1999,3469.0,1014.8345205479451,7.097260273972603,14.64986301369863,76.83287671232877,2.9095890410958902,21389599.000000004
2000,3834.5,1014.6918032786886,5.340163934426229,14.667486338797815,75.43715846994536,2.910655737704918,22155978.0
2001,4200.0,1014.5334246575343,6.1506849315068495,14.362465753424658,74.85479452054794,2.8742465753424655,22950485.0
2002,4565.0,1014.5230136986302,7.417808219178082,14.6,74.17534246575343,3.026849315068493,23711748.0
2003,4930.0,1015.1961643835616,6.387671232876713,14.18986301369863,76.17534246575343,2.815384615384615,24378303.0
2004,5295.5,1015.1830601092896,6.632513661202186,15.22568306010929,76.18579234972678,2.9549180327868854,25079470.0
2005,5661.0,1014.1164383561644,7.6068493150684935,14.209041095890411,78.36164383561643,2.9486263736263734,25943251.0
2006,6026.0,1015.0164383561644,7.076712328767123,14.262739726027396,79.59726027397261,2.857260273972603,26851850.0
2007,6391.0,1014.7841095890411,4.847945205479452,14.89917808219178,77.53972602739726,2.877260273972603,27701139.0
2008,6756.5,1015.0415300546448,5.629781420765028,14.613387978142077,78.85792349726776,2.75,28519042.0
2009,7122.0,1014.4564383561643,6.093150684931507,14.610684931506848,78.22739726027397,2.931232876712329,29179774.0
2010,7487.0,1015.0827397260274,7.634246575342465,14.972054794520549,79.96164383561644,2.938082191780822,29608267.0
2011,7852.0,1015.1769863013698,7.310958904109589,14.286301369863013,77.96712328767123,2.831232876712329,30298314.0
2012,8217.5,1014.69043715847,6.345628415300546,14.21311475409836,76.76502732240438,2.885792349726776,31358650.0
2013,8583.0,1014.5876712328767,7.842465753424658,14.615890410958905,74.66849315068494,2.973972602739726,32457212.0
2014,8948.0,1015.3112328767122,6.945205479452055,14.31972602739726,72.07123287671233,2.8315068493150686,33434877.999999996
2015,9313.0,1015.2898630136986,5.864383561643836,14.89123287671233,71.4986301369863,2.7906849315068496,34266485.0
2016,9678.5,1015.5423497267759,6.381147540983607,15.26393442622951,71.72404371584699,2.921311475409836,34984281.0
2017,10044.0,1014.721095890411,7.395890410958904,14.388219178082192,77.64657534246575,2.8583561643835615,35549930.0
2018,10409.0,1015.3767123287671,7.536986301369863,15.09835616438356,78.38630136986302,2.8802739726027395,35973889.0
2019,10774.0,1015.2265753424658,5.7465753424657535,15.242465753424657,77.42191780821918,2.77041095890411,36272489.0
2020,11139.5,1015.1245901639344,5.836065573770492,15.412568306010929,78.34972677595628,2.8371584699453556,36524966.0
2021,11505.0,1015.4397260273972,7.228531855955679,15.104383561643836,76.73698630136987,2.919178082191781,36719732.0
2022,11870.0,1015.2054794520548,6.597527472527473,15.135890410958906,76.46849315068494,2.7912328767123284,36752601.0
2023,12235.0,1015.6679452054794,6.543835616438356,16.17150684931507,73.64383561643835,2.8813698630136986,36766305.0
